               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.087968,0.043576,0,0.019001,0.055023,0.0057631,0.0011086,0.074349,0.043099,0,0.0033318,0.0033318,0.070014
1,0.070326,0.041811,0,0.59459,0.50478,0.50821,0.21222,0.052049,0.030373,0,0.0060053,0.0060053,0.039354
2,0.056368,0.032916,0,0.73446,0.65621,0.67694,0.32018,0.042758,0.025908,0,0.0080188,0.0080188,0.0080343
3,0.046493,0.029963,0,0.74178,0.71288,0.75704,0.42814,0.037765,0.023533,0,0.00703,0.00703,0.00703
4,0.041913,0.027522,0,0.80152,0.74404,0.80862,0.47478,0.035173,0.021793,0,0.00703,0.00703,0.00703
5,0.038482,0.026169,0,0.81673,0.76541,0.83856,0.5145,0.032479,0.021491,0,0.00604,0.00604,0.00604
6,0.036228,0.025177,0,0.82651,0.77684,0.85195,0.53483,0.031345,0.020309,0,0.00505,0.00505,0.00505
7,0.034768,0.024988,0,0.88184,0.75808,0.86875,0.55145,0.030258,0.019669,0,0.00406,0.00406,0.00406
8,0.033485,0.023769,0,0.88034,0.78592,0.88033,0.56649,0.029379,0.019316,0,0.00307,0.00307,0.00307
9,0.032866,0.02375,0,0.84057,0.80998,0.87319,0.56905,0.029086,0.019267,0,0.00208,0.00208,0.00208
